,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
56,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,12,3,4,-0.012718705
57,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,13,3,4,0.013050338
58,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,14,3,4,-0.002709533
59,300,nominal,SYS_03_(Preload_deformation)\,2,_Timestep_00003,_20231130\,SYS_03_(Preload_deformation)\02_Timestep_00003_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,15,3,4,0.001718029
60,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,1,3,4,-0.279688422
61,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,2,3,4,0.001033659
62,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,3,3,4,-0.002533609
63,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,4,3,4,-0.06038334
64,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,5,3,4,-0.110584841
65,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,6,3,4,0.131597589
66,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,7,3,4,0.00077252
67,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,8,3,4,0.000230366
68,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.021616988
69,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.000635741
70,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,11,3,4,0.012641434
71,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,12,3,4,-0.014999955
72,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,13,3,4,0.012585911
73,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,14,3,4,-0.002666585
74,400,nominal,SYS_03_(Preload_deformation)\,3,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,15,3,4,0.002158037
75,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,1,3,4,-0.319435117
76,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,2,3,4,0.001074936
77,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,3,3,4,-0.003246476
78,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,4,3,4,-0.073951891
79,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,5,3,4,-0.105059112
80,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,6,3,4,0.144491113
81,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,7,3,4,0.00076248
82,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,8,3,4,0.000244002
83,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.023661112
84,500,nominal,SYS_03_(Preload_deformation)\,4,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.000966772
