,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,wfe
49,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.10370273881866209
50,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06317644304102399
51,18,sandwich hub,Invar,SYS_20_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_20_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.06932649683096098
52,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.016132102548029808
53,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.07719482646757996
54,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.060798470626154226
55,23,sandwich hub,Invar,SYS_20_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_20_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.07553486935873999
56,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.0751520857656159
57,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.09618927036601041
58,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06854219389229636
59,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.08896008012494103
60,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.13957226332461695
61,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.14473413187683495
62,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.08396655056252954
63,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.10718908283418967
64,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.20475758026746219
65,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.20306306976703517
66,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.1038227849627447
67,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.12824340089327774
68,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.270525960002163
69,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.2650694292459386
70,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.12615034009064338
71,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.15102699503438288
72,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.6370745122454796
73,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.6584885404198868
74,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.2584659414256706
75,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.23757813600531283
76,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.4792145560074221
