,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
72,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,13.0,3.0,4.0,0.01258591123929255
73,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,14.0,3.0,4.0,-0.0026665854207836488
74,400,nominal,SYS_03_(Preload_deformation)\,3.0,_Timestep_00004,_20231130\,SYS_03_(Preload_deformation)\03_Timestep_00004_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,15.0,3.0,4.0,0.0021580368082345443
75,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,1.0,3.0,4.0,-0.3194351172544456
76,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,2.0,3.0,4.0,0.001074935970459863
77,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,3.0,3.0,4.0,-0.003246476111193941
78,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,4.0,3.0,4.0,-0.07395189110769065
79,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,5.0,3.0,4.0,-0.10505911248179083
80,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,6.0,3.0,4.0,0.14449111308836235
81,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,7.0,3.0,4.0,0.0007624802435834084
82,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,8.0,3.0,4.0,0.0002440020271546889
83,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,9.0,3.0,4.0,-0.023661112027851906
84,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,10.0,3.0,4.0,0.0009667719004527159
85,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,11.0,3.0,4.0,0.01663819355345086
86,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,12.0,3.0,4.0,-0.01642419369234991
87,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,13.0,3.0,4.0,0.011920265348046775
88,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,14.0,3.0,4.0,-0.002628421580084305
89,500,nominal,SYS_03_(Preload_deformation)\,4.0,_Timestep_00005,_20231130\,SYS_03_(Preload_deformation)\04_Timestep_00005_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,15.0,3.0,4.0,0.0021720592629596003
90,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,1.0,3.0,4.0,-0.3610569913256392
91,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,2.0,3.0,4.0,0.0009882508263083297
92,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,3.0,3.0,4.0,-0.003959731316321819
93,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,4.0,3.0,4.0,-0.0878519937689339
94,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,5.0,3.0,4.0,-0.09590624276030393
95,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,6.0,3.0,4.0,0.15374683848931445
96,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,7.0,3.0,4.0,0.0007625513067122632
97,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,8.0,3.0,4.0,0.00022922367822984178
98,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,9.0,3.0,4.0,-0.025970708194865973
99,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,10.0,3.0,4.0,0.001211205351934592
100,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,11.0,3.0,4.0,0.020607138630086775
101,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,12.0,3.0,4.0,-0.017407767331013256
102,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,13.0,3.0,4.0,0.010830260130310725
103,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,14.0,3.0,4.0,-0.0027304747357069347
104,600,nominal,SYS_03_(Preload_deformation)\,5.0,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,15.0,3.0,4.0,0.002129240389613602
105,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,1.0,3.0,4.0,-0.40291984785502044
106,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,2.0,3.0,4.0,0.001230477372455138
107,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,3.0,3.0,4.0,-0.003488308105562655
108,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,4.0,3.0,4.0,-0.10153258317740181
109,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,5.0,3.0,4.0,-0.07599561440232681
110,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,6.0,3.0,4.0,0.14973787422898838
111,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,7.0,3.0,4.0,0.0008339456868653457
112,700,nominal,SYS_03_(Preload_deformation)\,6.0,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,8.0,3.0,4.0,0.0002504684941890779
