,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe
33,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.70096259278864,0.7259466574347837
34,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.70096259278864,0.29874942516572645
35,43,sandwich hub,Ti,SYS_11_(Static_Structural)\,35,_Timestep_00009,_20240405\,SYS_11_(Static_Structural)\35_Timestep_00009_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.70096259278864,0.3220112510454377
36,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68522949461814,0.022540952211863835
37,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68522949461814,0.2657325759175456
38,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68522949461814,0.11041148741529191
39,3,sandwich hub,Invar,SYS_20_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_20_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68522949461814,0.09766903687309542
40,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68619941358112,0.01880681137847129
41,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68619941358112,0.20887691314268395
42,8,sandwich hub,Invar,SYS_20_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_20_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68619941358112,0.0911912113862102
