,Unnamed: 0,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe,term,wave,samp,zern
36,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,7.0,3.0,4.0,-0.00011484808537189335
37,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,8.0,3.0,4.0,0.00017628024005954018
38,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,9.0,3.0,4.0,0.00010127305848948614
39,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,10.0,3.0,4.0,-0.00025839894297253406
40,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,11.0,3.0,4.0,0.001103516181084324
41,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,12.0,3.0,4.0,0.0003617100009382115
42,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,13.0,3.0,4.0,0.0010889842109445605
43,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,14.0,3.0,4.0,3.2690243276738713e-05
44,2,200,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,1.0,_Timestep_00002,_20231210\,SYS_20_(Preload_deformation)\01_Timestep_00002_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.7202039045944,0.0112008676420644,15.0,3.0,4.0,0.00016073407250741814
45,3,300,"No M1 Relief, 1/10x Retainer",SYS_20_(Preload_deformation)\,2.0,_Timestep_00003,_20231210\,SYS_20_(Preload_deformation)\02_Timestep_00003_20231210\Surface_00_Deformation.txt,VNIR,1,on-axis,-254.718953550988,-254.72055132460036,0.0103922569538291,1.0,3.0,4.0,-0.09612565355948517
